"Canis,"Vulpes vulpes",3.35,3.35
"Paracynarctus,"Vulpes vulpes",14.785,18.2
"Chrysocyon,"Vulpes vulpes",3.35,3.35
"Epicyon,"Vulpes vulpes",7.6000000000000005,18.2
"Cynarctoides,"Vulpes vulpes",18.2,18.2
"Epicyon","Vulpes vulpes",7.6000000000000005,11.95
"Cynarctus,"Vulpes vulpes",14.895,18.205000000000002
"Borophagus,"Vulpes vulpes",3.35,14.1815
"Cormocyon,"Vulpes vulpes",14.1815,28.55
"Osbornodon,"Vulpes vulpes",18.2,22.615000000000002
"Psalidocyon,"Vulpes vulpes",14.785,18.2
"Desmocyon","Vulpes vulpes",22.615000000000002,22.615000000000002
"Desmocyon,"Vulpes vulpes",18.2,18.2
"Borophagus,"Vulpes vulpes",4.4665,4.4665
"Borophagus,"Vulpes vulpes",4.4665,7.6000000000000005
"Hesperocyon,"Vulpes vulpes",33.599999999999994,33.599999999999994
"Canis,"Vulpes vulpes",1.294,1.294
"Urocyon,"Vulpes vulpes",1.05,1.05
"Pseudalopex,"Vulpes vulpes",0.00585,1.6845
"Carpocyon,"Vulpes vulpes",7.6000000000000005,14.785
"Epicyon,"Vulpes vulpes",7.6000000000000005,7.6000000000000005
"Theriodictis","Vulpes vulpes",0.06885,1.6845
"Phlaocyon","Vulpes vulpes",18.2,25.615000000000002
"Protocyon","Vulpes vulpes",0.06885,1.29985
"Cerdocyon,"Vulpes vulpes",3.35,3.9605
"Aelurodon","Vulpes vulpes",8.470500000000001,14.785
"Cynotherium","Vulpes vulpes",0.06885,1.80585
"Vulpes,"Vulpes vulpes",0.06885,0.06885
"Leptocyon","Vulpes vulpes",11.95,25.615000000000002
"Vulpes,"Vulpes vulpes",0.00585,1.6845
"Vulpes,"Vulpes vulpes",4.4665,4.4665
"Aelurodon,"Vulpes vulpes",9.25,14.785
"Metalopex,"Vulpes vulpes",11.95,14.1815
"Cynarctoides,"Vulpes vulpes",14.1815,18.2
"Leptocyon,"Vulpes vulpes",9.25,11.95
"Leptocyon,"Vulpes vulpes",14.785,22.615000000000002
"Oxetocyon","Vulpes vulpes",32.05,32.05
"Protocyon,"Vulpes vulpes",1.6845,1.6845
"Mesocyon,"Vulpes vulpes",22.615000000000002,33.599999999999994
"Urocyon,"Vulpes vulpes",3.35,3.35
"Aelurodon,"Vulpes vulpes",14.785,14.785
"Neovulpavus,"Vulpes vulpes",43.3,43.3
"Cuon","Vulpes vulpes",0.06885,0.4535
"Paratomarctus,"Vulpes vulpes",9.25,14.1815
"Phlaocyon,"Vulpes vulpes",22.615000000000002,22.615000000000002
"Speothos,"Vulpes vulpes",0.00585,0.00585
"Dusicyon","Vulpes vulpes",0.00585,1.29985
"Vulpes,"Vulpes vulpes",0.063,3.35
"Mesocyon,"Vulpes vulpes",25.615000000000002,25.615000000000002
"Rhizocyon,"Vulpes vulpes",25.615000000000002,25.615000000000002
"Alopex,"Vulpes vulpes",0.00585,1.05
"Paraenhydrocyon,"Vulpes vulpes",22.615000000000002,22.615000000000002
"Enhydrocyon,"Vulpes vulpes",25.615000000000002,25.615000000000002
"Phlaocyon,"Vulpes vulpes",22.615000000000002,22.615000000000002
"Chailicyon,"Vulpes vulpes",42.900000000000006,42.900000000000006
"Metalopex,"Vulpes vulpes",7.6000000000000005,14.1815
"Protepicyon,"Vulpes vulpes",14.785,14.785
"Borophaginae","Vulpes vulpes",7.6000000000000005,22.615000000000002
"Cynodictis","Vulpes vulpes",31.0,52.2
"Paratomarctus,"Vulpes vulpes",9.25,14.895
"Urocyon,"Vulpes vulpes",0.00585,3.35
"Canis,"Vulpes vulpes",0.06885,2.6
"Vulpes,"Vulpes vulpes",0.06885,0.06885
"Cynarctoides,"Vulpes vulpes",22.615000000000002,22.615000000000002
"Osbornodon,"Vulpes vulpes",32.05,33.599999999999994
"Xenocyon","Vulpes vulpes",0.4535,1.6845
"Phlaocyon,"Vulpes vulpes",18.2,18.2
"Borophagus,"Vulpes vulpes",7.6000000000000005,7.6000000000000005
"Cynarctoides,"Vulpes vulpes",14.785,25.615000000000002
"Aelurodon,"Vulpes vulpes",7.6000000000000005,14.1815
"Paraenhydrocyon,"Vulpes vulpes",22.615000000000002,25.615000000000002
"Cynarctus,"Vulpes vulpes",14.785,14.785
"Cynarctus,"Vulpes vulpes",11.95,11.95
"Metatomarctus","Vulpes vulpes",14.1815,14.1815
"Theriodictis,"Vulpes vulpes",3.35,3.35
"Osbornodon,"Vulpes vulpes",18.2,18.2
"Canis,"Vulpes vulpes",0.06885,1.29985
"Hesperocyon,"Vulpes vulpes",32.05,38.8
"Canis","Vulpes vulpes",0.00585,12.809000000000001
"Enhydrocyon,"Vulpes vulpes",22.615000000000002,28.55
"Osbornodon,"Vulpes vulpes",25.615000000000002,32.05
"Tomarctus,"Vulpes vulpes",14.1815,18.2
"Xenocyon,"Vulpes vulpes",0.4535,1.6845
